profondeur,type_roche,ph,conductivite,distance_faille,humidite,teneur_or
456.01,Calcaire,4.81,374.89,401.24,28.21,15.62
85.66,Granit,6.92,142.56,568.96,12.29,0.0
317.12,Basalte,5.22,318.03,558.88,13.42,6.23
24.11,Gabbro,4.53,459.53,119.07,22.98,18.79
325.42,Granit,6.4,165.07,34.44,32.06,14.16
145.8,Gabbro,5.12,116.4,798.23,22.35,0.0
230.34,Basalte,5.22,62.22,725.92,24.47,0.0
179.18,Gabbro,4.85,73.93,81.82,28.3,10.98
94.65,Basalte,5.42,40.49,127.42,12.78,3.51
314.77,Gabbro,7.72,52.94,892.58,29.82,0.0
442.17,Gabbro,8.14,221.68,769.13,17.54,1.28
479.95,Schiste,6.54,167.22,996.16,10.27,0.0
104.25,Granit,6.78,356.21,253.99,15.5,9.93
361.51,Gabbro,4.65,436.42,487.8,12.38,12.04
335.53,Calcaire,4.81,394.54,236.46,11.86,15.2
178.26,Schiste,5.66,270.01,622.8,13.48,1.65
19.36,Granit,6.95,60.2,115.41,10.43,1.9
348.0,Schiste,7.83,357.79,127.24,25.03,17.22
473.29,Granit,7.22,187.79,71.89,22.4,13.74
319.74,Basalte,6.26,51.97,693.59,24.45,0.0
223.29,Gabbro,5.03,422.81,494.07,15.31,10.8
267.33,Calcaire,8.01,175.73,617.73,28.09,3.05
107.82,Schiste,6.14,116.94,879.3,8.89,0.0
377.77,Schiste,7.81,437.01,740.33,22.13,7.71
375.75,Schiste,6.81,452.05,461.72,13.26,11.74
81.3,Schiste,7.82,176.1,984.36,20.83,0.0
440.21,Gabbro,8.58,183.85,456.26,14.71,6.3
141.9,Granit,8.64,294.02,112.45,28.72,13.77
491.31,Gabbro,6.91,369.39,992.65,31.74,5.5
197.62,Basalte,6.8,40.94,22.82,27.28,9.83
97.16,Gabbro,5.7,300.74,549.88,10.27,4.13
182.34,Gabbro,8.71,476.88,309.1,13.25,15.42
225.69,Basalte,6.56,138.43,503.55,32.58,4.38
43.96,Gabbro,5.07,455.33,558.71,18.12,9.41
293.33,Granit,6.45,475.58,240.1,33.24,19.43
302.84,Calcaire,5.07,141.89,556.86,16.77,2.16
372.08,Basalte,6.76,379.56,756.06,33.55,8.76
24.29,Schiste,7.03,127.0,266.51,32.77,6.02
275.21,Granit,6.02,371.43,383.43,24.82,11.8
35.92,Calcaire,4.82,400.74,268.24,5.26,10.35
353.56,Granit,8.75,131.13,820.56,17.01,0.0
37.31,Granit,7.98,360.78,724.98,32.34,3.34
456.75,Schiste,8.27,407.93,871.2,31.55,6.72
354.02,Calcaire,6.15,185.7,170.05,10.62,10.3
258.62,Granit,7.92,92.17,73.58,16.98,7.39
226.34,Schiste,6.68,55.06,119.38,30.07,8.6
74.03,Basalte,5.4,291.94,161.02,22.34,12.22
152.59,Schiste,5.06,489.27,533.08,30.42,13.38
435.79,Gabbro,6.05,413.25,970.91,29.8,6.01
453.18,Schiste,5.12,223.56,357.24,32.22,11.45
10.37,Schiste,8.99,272.94,958.51,8.52,0.0
301.13,Schiste,4.72,146.97,38.2,9.36,9.56
362.46,Granit,6.49,89.9,926.87,7.48,0.0
313.19,Calcaire,6.53,246.22,181.15,33.06,15.34
50.02,Schiste,5.85,237.12,912.47,19.25,0.0
116.69,Schiste,7.07,265.75,56.23,6.93,10.42
132.67,Gabbro,5.17,476.87,948.22,14.65,2.27
417.55,Gabbro,8.03,305.91,200.8,15.54,15.04
236.97,Basalte,6.0,306.83,302.71,29.29,12.74
248.55,Basalte,7.16,72.73,490.94,27.06,1.57
468.1,Gabbro,7.72,498.28,380.72,25.68,20.09
322.17,Calcaire,8.5,388.69,667.53,5.66,4.66
450.35,Basalte,8.26,439.83,974.81,32.32,6.16
233.69,Calcaire,7.24,213.01,606.43,11.47,1.19
83.22,Gabbro,6.25,256.04,721.49,23.87,1.4
465.67,Basalte,6.76,265.82,88.01,6.85,13.63
234.77,Schiste,7.96,105.11,627.81,7.45,0.0
99.0,Gabbro,8.45,347.85,453.85,5.29,6.07
158.17,Basalte,4.97,452.46,885.78,21.98,3.29
34.89,Calcaire,6.23,90.22,388.21,23.88,2.05
239.47,Calcaire,7.99,52.3,679.45,6.51,0.0
428.03,Basalte,6.44,371.73,228.15,13.71,14.77
467.45,Calcaire,6.0,143.87,259.37,30.54,12.48
466.98,Basalte,6.35,315.69,376.12,8.04,10.27
71.36,Basalte,7.21,350.92,304.06,11.5,9.33
197.21,Calcaire,9.0,167.74,253.88,17.73,7.78
23.83,Granit,6.72,409.42,49.67,30.27,18.68
429.03,Schiste,5.44,279.49,836.75,12.65,0.0
185.79,Gabbro,5.23,435.81,64.3,34.91,23.84
319.25,Schiste,4.69,384.01,887.37,15.66,1.51
360.3,Gabbro,7.01,435.6,125.47,16.59,20.31
220.62,Gabbro,6.95,19.88,65.26,8.66,5.91
160.16,Schiste,5.42,129.32,563.0,25.41,0.66
481.48,Basalte,7.63,54.1,502.44,12.3,0.04
482.6,Calcaire,7.83,226.62,491.23,23.87,8.35
151.82,Granit,5.67,446.08,574.5,11.69,6.61
245.02,Granit,6.05,239.09,287.06,16.64,7.63
486.69,Granit,8.96,426.36,662.95,30.7,10.59
12.39,Schiste,6.18,170.32,502.4,27.17,1.49
212.21,Schiste,7.92,176.39,334.74,9.64,4.1
59.22,Basalte,6.54,448.83,826.5,23.23,4.26
259.49,Granit,8.07,218.65,727.72,23.86,0.0
22.09,Basalte,7.96,396.99,393.61,7.72,7.6
209.38,Granit,7.5,125.96,847.62,18.97,0.0
118.14,Schiste,8.35,474.91,920.26,12.82,0.19
271.32,Calcaire,8.73,291.54,536.87,19.01,6.68
498.04,Calcaire,7.11,382.07,214.95,28.31,19.75
402.26,Calcaire,5.57,53.86,915.79,9.75,0.0
424.36,Calcaire,6.29,251.41,189.48,8.7,12.36
321.28,Gabbro,7.91,451.51,48.42,13.08,21.25
30.36,Granit,7.43,439.75,327.49,33.57,14.27
111.33,Calcaire,5.3,32.94,726.97,27.43,0.0
463.28,Gabbro,4.73,158.81,923.27,5.58,0.0
189.4,Gabbro,7.57,227.23,637.29,17.03,2.25
60.78,Gabbro,5.63,94.41,951.84,12.72,0.0
354.18,Basalte,6.75,367.7,92.37,24.14,18.92
156.73,Basalte,7.86,100.41,60.75,18.78,8.66
141.74,Gabbro,7.03,179.85,604.19,33.93,4.24
499.01,Calcaire,4.87,335.01,966.12,11.57,0.61
430.49,Granit,5.34,246.22,502.72,22.64,6.82
209.89,Schiste,5.49,371.9,51.52,26.01,18.78
490.33,Basalte,5.66,480.99,221.22,29.77,22.52
328.56,Calcaire,7.04,67.11,244.79,17.21,5.56
373.59,Calcaire,6.77,357.69,337.86,25.61,14.75
25.44,Schiste,5.41,122.87,43.6,14.1,6.86
69.59,Schiste,4.8,213.09,904.89,18.06,0.0
320.21,Calcaire,5.27,26.1,515.56,31.87,2.61
450.52,Schiste,8.93,76.59,670.93,33.5,1.48
315.63,Calcaire,6.61,166.69,67.17,26.56,14.32
75.67,Schiste,8.4,177.57,54.12,16.23,8.75
66.72,Schiste,8.32,450.8,586.47,29.6,9.49
423.65,Calcaire,6.8,373.49,887.3,5.78,0.59
78.26,Gabbro,7.68,486.37,528.48,8.08,8.48
264.91,Calcaire,5.37,303.55,877.82,24.84,1.59
28.19,Granit,7.6,128.44,810.99,13.74,0.0
49.53,Schiste,5.73,170.55,75.85,33.54,11.55
339.45,Basalte,8.24,166.72,201.96,18.08,9.59
347.7,Schiste,4.88,169.98,657.71,17.88,0.6
177.32,Granit,7.98,339.75,443.5,25.34,8.99
115.65,Basalte,4.95,270.1,290.7,28.03,11.0
408.72,Basalte,8.47,198.86,418.63,19.27,7.42
116.38,Calcaire,5.87,83.05,445.2,11.42,0.0
275.59,Gabbro,7.44,20.85,910.55,28.2,0.0
484.42,Calcaire,6.69,117.23,103.46,14.61,10.88
82.45,Basalte,6.15,62.66,279.73,10.25,0.81
471.03,Basalte,7.4,394.87,537.56,23.95,12.47
99.62,Gabbro,8.76,65.12,698.29,7.71,0.0
288.05,Schiste,4.69,364.87,630.64,34.14,8.94
194.73,Gabbro,8.63,198.97,941.64,23.97,0.0
482.82,Calcaire,7.24,45.96,795.61,34.58,0.0
144.04,Schiste,8.13,408.24,557.08,15.17,6.86
205.83,Calcaire,6.23,294.02,214.68,34.14,15.22
491.6,Gabbro,6.62,125.52,450.87,9.37,4.4
272.87,Schiste,8.41,448.39,693.38,6.22,4.09
256.29,Gabbro,6.37,32.18,837.96,5.99,0.0
136.31,Granit,6.91,108.89,959.74,18.95,0.0
353.67,Basalte,4.59,378.5,605.45,7.49,6.04
17.04,Schiste,5.21,357.6,526.92,20.37,6.15
34.26,Basalte,7.39,151.74,17.69,14.83,9.34
303.69,Granit,7.73,40.39,72.1,15.07,6.17
177.42,Schiste,7.12,430.46,156.1,24.07,17.49
477.13,Basalte,5.14,163.71,54.76,9.89,11.87
452.56,Basalte,6.5,105.9,400.86,28.0,6.81
359.72,Schiste,6.1,262.87,336.88,22.46,10.93
410.89,Basalte,6.73,456.01,637.35,32.45,13.28
336.99,Basalte,8.42,31.34,535.67,15.95,0.0
71.54,Schiste,7.99,385.24,595.97,34.48,8.52
385.12,Basalte,4.88,290.51,471.98,22.27,9.04
112.99,Basalte,8.51,218.47,277.74,34.2,10.56
168.49,Calcaire,6.62,374.6,952.83,5.81,0.0
411.42,Calcaire,7.85,483.25,86.41,26.84,24.44
272.9,Granit,5.13,122.31,938.89,29.5,0.0
431.37,Calcaire,7.52,80.39,311.24,6.6,4.02
114.39,Calcaire,5.56,457.31,512.66,22.37,11.75
307.81,Granit,6.47,337.79,108.84,29.06,17.22
51.06,Basalte,4.58,224.61,70.93,21.83,12.37
325.1,Basalte,5.18,290.9,429.55,6.91,6.65
383.64,Calcaire,4.91,375.35,741.7,25.8,7.95
296.62,Granit,5.58,388.79,269.36,6.82,11.14
140.45,Basalte,4.95,460.75,562.35,29.52,11.79
25.36,Gabbro,7.61,219.15,278.65,6.29,5.53
68.53,Schiste,4.63,153.77,388.61,9.12,0.38
314.93,Schiste,7.28,323.44,906.45,13.25,0.0
467.87,Schiste,5.13,213.71,855.84,24.0,0.07
111.2,Calcaire,8.75,301.35,516.02,34.29,8.85
370.16,Schiste,8.7,215.79,238.11,8.53,7.57
434.56,Schiste,5.51,84.97,193.18,9.28,6.05
265.23,Gabbro,7.26,240.02,954.09,16.07,0.0
337.94,Basalte,4.63,348.55,202.72,30.09,17.27
409.36,Gabbro,8.69,401.65,808.17,19.02,6.52
137.73,Calcaire,6.85,251.73,368.97,14.65,6.26
155.48,Schiste,4.69,90.97,985.66,21.84,0.0
10.31,Basalte,6.04,213.2,368.16,12.82,2.98
481.92,Schiste,4.85,395.28,351.52,17.03,14.86
459.6,Schiste,6.27,212.3,637.46,14.98,2.62
384.64,Calcaire,7.51,351.3,961.52,29.12,3.03
48.75,Schiste,6.61,258.53,976.21,32.73,0.0
229.28,Granit,6.23,128.2,707.21,27.79,0.0
59.93,Basalte,5.04,400.11,754.61,18.17,2.61
17.8,Basalte,5.6,51.26,563.4,20.13,0.0
311.93,Granit,4.95,267.2,755.78,8.75,0.0
480.81,Calcaire,8.13,112.36,859.78,27.41,0.0
452.41,Schiste,5.11,42.86,486.1,22.89,2.1
351.41,Schiste,7.18,256.44,619.86,32.07,6.33
57.35,Basalte,6.04,254.79,537.32,11.02,1.4
144.34,Calcaire,5.52,356.38,562.47,27.79,9.01
166.83,Calcaire,7.38,374.93,890.05,25.54,1.86
383.94,Calcaire,6.56,366.62,355.62,12.98,12.66
403.1,Schiste,6.3,210.68,208.18,25.02,12.39
198.7,Calcaire,7.17,319.53,456.28,32.73,11.44
214.76,Granit,6.71,292.7,208.09,32.55,14.2
31.81,Gabbro,5.87,216.57,498.4,26.59,4.52
151.68,Calcaire,7.02,302.63,903.51,6.44,0.0
231.13,Gabbro,7.51,474.15,617.43,31.17,13.29
67.32,Schiste,4.62,104.52,855.43,24.73,0.0
232.1,Calcaire,6.6,453.83,166.19,14.31,17.94
428.06,Basalte,4.76,36.19,900.87,10.62,0.0
294.85,Schiste,5.34,161.11,601.79,8.49,0.0
48.68,Granit,7.02,151.19,31.76,6.51,6.01
103.92,Granit,8.4,316.92,633.12,27.62,4.1
242.53,Gabbro,8.47,74.3,951.4,12.08,0.0
187.13,Gabbro,4.81,442.35,79.17,5.73,17.06
185.78,Basalte,6.39,415.99,582.46,16.92,7.76
269.34,Basalte,7.12,329.51,915.48,19.48,0.0
296.35,Granit,5.16,234.62,9.7,10.08,12.27
400.46,Calcaire,7.94,467.15,630.91,6.32,9.01
177.07,Granit,7.85,417.07,474.9,10.67,7.16
404.68,Granit,8.57,254.66,346.99,25.37,10.28
175.92,Basalte,4.54,353.92,627.54,7.47,3.32
37.16,Gabbro,5.48,287.8,52.7,21.65,14.56
281.55,Basalte,8.22,298.09,753.06,9.39,0.0
298.07,Basalte,7.52,172.18,4.48,10.87,11.55
467.92,Basalte,8.52,236.42,306.94,16.79,9.94
365.77,Granit,4.76,48.28,503.96,8.02,0.0
459.71,Calcaire,7.19,185.1,377.02,10.2,7.23
455.09,Granit,7.06,350.96,307.48,15.47,12.43
306.24,Schiste,4.66,477.08,830.84,14.89,4.69
268.6,Basalte,6.81,481.9,934.83,27.48,5.62
283.15,Basalte,7.24,282.3,873.71,7.24,0.0
489.38,Schiste,5.36,307.24,522.43,30.81,10.95
388.85,Basalte,5.73,101.0,884.16,29.49,0.0
62.07,Basalte,7.38,350.7,920.86,27.98,0.0
391.43,Basalte,6.61,44.62,409.24,14.28,1.34
93.56,Schiste,8.36,149.5,283.45,29.69,6.31
229.2,Granit,6.04,337.5,98.27,10.48,13.66
113.13,Basalte,5.7,162.05,479.09,8.73,0.0
347.9,Calcaire,8.93,34.42,946.3,6.35,0.0
439.88,Schiste,8.6,417.62,560.91,33.18,13.29
152.28,Gabbro,4.63,162.06,667.56,14.24,0.0
50.19,Schiste,7.97,40.92,112.88,32.53,6.98
156.26,Granit,5.0,46.65,143.52,13.18,3.29
339.46,Schiste,4.62,133.36,464.47,32.23,5.58
171.09,Gabbro,5.73,97.23,951.26,32.12,0.0
146.27,Calcaire,5.71,389.41,360.78,32.71,14.38
100.37,Gabbro,8.19,167.63,877.48,19.88,0.0
253.78,Schiste,7.7,404.3,120.29,30.98,19.45
145.21,Gabbro,8.92,95.18,617.02,33.52,1.04
368.2,Schiste,7.7,251.51,600.61,14.74,3.66
47.54,Calcaire,6.38,347.14,859.87,17.57,0.0
335.38,Calcaire,7.65,329.48,3.32,26.58,20.7
126.4,Granit,9.0,304.55,189.93,14.01,9.86
249.75,Calcaire,7.7,463.16,219.69,27.61,19.93
150.18,Basalte,7.93,121.98,949.97,7.22,0.0
364.16,Gabbro,8.72,251.92,153.69,20.7,14.33
473.2,Gabbro,5.01,443.16,36.96,8.67,22.09
459.37,Schiste,7.67,48.17,534.46,13.8,0.0
295.88,Calcaire,8.33,37.39,528.56,12.76,0.0
236.68,Granit,8.79,124.32,844.05,30.17,0.0
410.97,Granit,5.45,320.18,948.86,10.81,0.0
344.83,Granit,6.77,137.34,538.55,29.25,3.6
99.95,Basalte,7.56,103.22,929.99,28.82,0.0
412.25,Calcaire,5.61,234.81,725.16,19.97,3.06
220.15,Granit,7.2,310.66,264.56,12.02,9.4
102.6,Basalte,5.66,131.79,928.42,11.81,0.0
148.08,Gabbro,6.0,157.34,667.44,18.95,0.0
141.09,Schiste,6.49,310.64,414.1,5.26,4.71
264.41,Calcaire,6.88,473.41,680.24,20.94,10.0
124.84,Calcaire,6.52,340.62,401.31,33.58,11.87
70.55,Gabbro,6.72,393.62,114.18,9.64,14.99
70.61,Calcaire,5.84,189.74,718.98,22.2,0.0
295.81,Calcaire,5.22,143.4,824.09,33.85,0.0
370.03,Calcaire,4.71,232.59,728.81,30.82,4.96
167.55,Calcaire,5.38,405.5,229.11,30.51,17.78
26.98,Basalte,7.12,233.59,956.64,29.66,0.0
72.34,Basalte,8.04,424.9,25.25,14.27,16.92
458.2,Schiste,5.26,494.5,332.69,31.72,20.8
251.84,Calcaire,4.99,45.29,260.09,33.24,7.58
232.25,Gabbro,7.87,32.25,48.13,19.87,9.22
28.64,Granit,5.87,83.3,405.73,15.64,0.0
367.03,Schiste,8.78,198.34,623.11,17.43,1.37
268.75,Granit,7.71,74.21,882.55,15.03,0.0
109.02,Granit,5.97,436.63,989.69,11.37,0.0
63.94,Calcaire,5.8,21.34,808.09,23.55,0.0
197.86,Gabbro,6.86,164.74,468.68,21.88,4.58
420.21,Granit,4.86,100.5,723.7,18.88,0.0
433.99,Granit,5.03,466.45,843.62,7.88,3.73
305.39,Schiste,5.29,338.05,465.31,28.91,11.29
366.49,Gabbro,7.99,456.89,785.05,10.25,6.02
66.43,Gabbro,6.81,486.44,482.65,8.44,10.08
298.18,Granit,4.55,253.58,386.5,23.69,8.13
336.81,Gabbro,7.53,124.82,526.09,16.96,2.63
108.35,Schiste,6.41,104.93,675.85,6.79,0.0
441.28,Schiste,6.8,119.23,726.88,15.67,0.0
105.55,Schiste,5.46,357.21,356.74,28.15,11.61
163.6,Calcaire,6.98,29.82,571.32,23.46,0.0
314.07,Granit,8.91,35.17,909.87,15.88,0.0
322.79,Gabbro,4.83,307.99,976.31,10.75,0.0
352.7,Schiste,5.78,324.61,227.25,23.95,14.58
64.89,Granit,5.59,335.98,192.83,31.63,13.68
426.24,Granit,5.62,192.22,676.69,24.39,1.64
271.1,Calcaire,6.2,404.91,414.68,29.39,14.77
240.95,Gabbro,8.18,271.48,24.22,20.65,17.09
490.74,Gabbro,8.61,61.68,346.86,26.54,7.8
372.79,Schiste,5.41,400.58,806.74,31.89,6.82
67.82,Schiste,6.94,477.0,797.43,28.2,5.4
380.7,Granit,7.37,39.42,494.69,32.3,2.17
56.67,Gabbro,6.85,201.76,472.58,17.93,3.01
23.46,Gabbro,6.45,248.88,579.51,32.13,5.57
207.78,Schiste,5.36,81.77,219.4,23.65,5.97
496.85,Basalte,6.7,435.18,526.04,31.1,15.02
95.69,Granit,6.31,149.23,11.05,6.18,6.78
339.6,Gabbro,8.08,393.67,475.56,24.74,13.47
94.96,Calcaire,7.94,338.79,336.05,30.44,12.2
365.15,Calcaire,5.1,303.04,674.87,10.23,3.8
257.62,Basalte,4.9,104.15,638.35,24.85,0.0
343.19,Schiste,8.59,118.14,380.84,29.75,6.25
109.41,Schiste,6.91,33.2,7.27,13.64,5.47
375.36,Schiste,8.36,127.95,252.27,17.16,6.97
497.85,Calcaire,4.76,179.27,633.35,22.09,4.7
336.17,Schiste,6.87,418.24,72.37,20.58,20.04
251.81,Calcaire,6.93,189.53,107.64,6.18,9.44
462.36,Basalte,8.37,379.76,647.04,7.96,6.23
17.77,Granit,4.94,225.33,755.77,8.01,0.0
367.66,Gabbro,5.58,394.59,321.55,12.87,14.88
445.49,Basalte,6.33,488.37,489.67,12.38,13.63
40.22,Calcaire,8.4,127.52,945.71,27.27,0.0
230.53,Basalte,8.72,432.55,945.54,22.18,2.33
110.31,Gabbro,8.97,314.69,307.5,27.92,12.82
287.59,Granit,8.82,410.47,809.99,7.1,0.39
328.28,Gabbro,4.53,329.28,593.94,19.56,7.82
158.29,Calcaire,4.71,217.74,975.48,14.71,0.0
235.39,Gabbro,5.16,121.76,477.61,30.5,5.42
146.88,Basalte,6.07,44.32,774.71,26.23,0.0
191.0,Schiste,8.23,272.4,768.14,31.08,2.03
88.17,Basalte,8.52,495.26,497.43,6.39,8.89
443.92,Calcaire,5.34,371.64,795.63,26.62,7.76
14.91,Granit,7.29,170.4,261.04,21.2,5.19
442.38,Gabbro,8.63,415.33,122.25,29.75,22.75
290.12,Granit,6.59,386.8,425.16,20.21,11.09
172.51,Calcaire,4.97,148.0,943.63,21.21,0.0
364.3,Gabbro,6.56,17.01,500.74,6.55,0.0
258.8,Basalte,6.19,67.9,635.26,25.06,0.0
254.56,Basalte,7.1,439.88,624.16,13.19,7.36
63.97,Calcaire,6.47,419.92,132.57,5.59,13.51
200.86,Gabbro,4.58,154.65,390.3,6.99,2.68
128.12,Basalte,8.97,149.75,706.94,33.72,0.0
17.69,Calcaire,6.95,398.5,971.99,15.38,0.0
186.45,Calcaire,6.63,469.49,168.02,31.04,21.37
54.01,Granit,8.8,391.78,410.44,33.79,11.34
135.85,Basalte,5.2,306.73,95.09,33.3,17.17
55.33,Gabbro,5.35,128.91,242.38,31.45,8.25
59.46,Basalte,8.14,267.62,376.76,31.85,9.38
107.52,Basalte,5.67,124.42,540.64,13.67,0.0
499.93,Basalte,8.1,405.93,230.57,9.54,16.25
11.07,Calcaire,5.72,199.61,227.56,24.18,8.13
322.95,Schiste,4.65,418.51,777.83,19.64,5.71
79.21,Schiste,6.83,196.99,962.64,7.96,0.0
461.11,Granit,5.39,413.83,323.61,25.33,16.55
55.88,Basalte,7.91,173.33,687.99,21.89,0.0
477.98,Schiste,7.39,225.67,258.08,30.89,13.35
309.35,Granit,8.66,311.59,927.95,23.28,0.0
10.62,Calcaire,8.02,44.44,672.9,22.22,0.0
448.06,Basalte,5.31,474.62,802.68,18.22,8.12
265.64,Gabbro,8.1,291.07,49.35,18.88,17.07
138.71,Calcaire,7.39,258.83,598.51,33.63,5.66
385.97,Granit,7.51,421.3,527.61,9.15,8.43
464.07,Calcaire,8.25,434.22,293.0,18.39,17.9
247.01,Gabbro,7.08,265.91,262.43,24.67,12.89
164.62,Calcaire,6.6,464.36,580.02,17.99,9.24
396.58,Granit,7.36,41.72,706.49,13.5,0.0
344.07,Gabbro,5.84,65.48,33.17,13.62,9.8
445.49,Gabbro,5.32,302.43,567.4,12.01,6.86
349.33,Calcaire,7.27,183.49,170.46,15.32,10.66
129.33,Gabbro,5.55,237.47,140.36,31.15,14.43
466.51,Calcaire,4.86,170.76,623.12,20.16,3.91
61.37,Basalte,4.5,208.32,310.87,12.21,5.29
141.29,Gabbro,7.24,413.1,440.88,16.54,11.04
264.9,Calcaire,6.13,300.8,360.0,8.17,8.44
287.21,Basalte,7.89,498.7,648.34,32.12,12.55
17.5,Gabbro,6.19,395.57,470.12,17.25,8.63
392.48,Basalte,6.69,144.1,963.46,34.41,0.0
187.19,Gabbro,6.33,139.53,352.38,15.43,5.12
209.15,Granit,7.43,174.59,740.28,30.09,0.0
406.59,Granit,6.1,423.2,257.29,12.69,15.33
195.85,Calcaire,8.84,23.37,508.75,7.28,0.0
33.14,Schiste,8.71,122.79,552.57,5.95,0.0
96.46,Granit,8.32,453.41,329.11,23.19,12.79
478.39,Schiste,8.64,323.55,471.78,14.35,9.27
44.5,Basalte,6.52,121.16,279.28,18.31,4.07
183.92,Basalte,6.91,117.38,6.0,29.56,12.97
256.56,Schiste,7.84,432.68,215.65,12.44,14.96
251.71,Calcaire,7.63,447.94,700.06,14.26,6.76
11.94,Gabbro,8.51,135.5,770.96,30.36,0.0
255.57,Schiste,7.72,216.05,280.2,19.78,8.7
198.05,Schiste,8.99,418.95,408.04,29.83,13.6
486.32,Schiste,6.07,387.79,37.37,16.23,19.86
87.99,Schiste,8.25,408.82,237.06,16.95,12.41
183.54,Schiste,7.64,264.02,779.22,10.01,0.0
215.55,Calcaire,7.61,456.66,605.99,32.49,12.05
201.44,Granit,5.97,169.72,205.77,31.9,10.41
336.26,Gabbro,8.04,86.77,257.44,34.53,9.82
115.6,Granit,8.55,357.28,816.8,17.07,0.0
118.33,Schiste,5.48,274.28,209.08,29.56,12.19
367.31,Granit,7.31,428.75,334.16,17.45,13.76
255.14,Calcaire,6.26,49.77,664.36,18.63,0.0
213.43,Basalte,8.95,423.41,561.11,29.9,11.25
92.91,Granit,6.65,153.71,460.87,10.32,0.0
101.89,Gabbro,5.53,330.88,899.74,11.61,0.0
15.17,Calcaire,6.22,29.66,219.71,14.44,1.92
54.8,Basalte,7.44,308.69,741.42,28.65,2.02
282.85,Calcaire,4.84,361.46,159.06,16.18,16.45
447.02,Schiste,7.22,190.69,615.73,15.75,1.74
150.71,Basalte,8.69,115.55,870.62,34.96,0.0
170.6,Gabbro,8.33,273.44,457.9,16.51,6.69
66.65,Basalte,4.8,418.26,724.29,12.43,3.23
200.43,Gabbro,8.97,168.54,820.39,23.7,0.0
28.24,Schiste,7.64,133.71,136.03,29.06,7.99
459.62,Gabbro,5.23,146.68,705.83,7.09,0.0
339.82,Calcaire,4.56,475.07,919.84,23.57,5.87
495.47,Granit,5.27,186.05,576.37,6.07,1.26
